"Date","CPGRLE01USM657N"
1997-05-01,-0.059031877213699
1997-06-01,-0.0590667454223308
1997-07-01,0.177304964539018
1997-08-01,0.0589970501474803
1997-09-01,0.235849056603772
1997-10-01,0.47058823529413
1997-11-01,0
1997-12-01,-0.0585480093677008
1998-01-01,0.292911540714706
1998-02-01,0.525700934579455
1998-03-01,0.290528762347459
1998-04-01,0.23174971031286
1998-05-01,0.057803468208096
1998-06-01,-0.0577700751011011
1998-07-01,0.173410404624288
1998-08-01,0.288517022504345
1998-09-01,0.230149597238188
1998-10-01,0.287026406429378
1998-11-01,0.057240984544953
1998-12-01,0
1999-01-01,0.286041189931352
1999-02-01,0.228180262407285
1999-03-01,0.284575981787139
1999-04-01,0.340522133938727
1999-05-01,-0.113122171945708
1999-06-01,0
1999-07-01,0.169875424688557
1999-08-01,0.113058224985859
1999-09-01,0.338791643139474
1999-10-01,0.337647720877889
1999-11-01,0.056085249579364
1999-12-01,-0.112107623318392
2000-01-01,0.336700336700342
2000-02-01,0.391498881431761
2000-03-01,0.557103064066841
2000-04-01,0.221606648199459
2000-05-01,0
2000-06-01,0.055279159756775
2000-07-01,0.165745856353601
2000-08-01,0.220628792057347
2000-09-01,0.33021463951569
2000-10-01,0.274273176083381
2000-11-01,0.109409190371983
2000-12-01,-0.109289617486331
2001-01-01,0.382932166301963
2001-02-01,0.490463215258856
2001-03-01,0.488069414316718
2001-04-01,0.161899622234196
2001-05-01,-0.0538793103448308
2001-06-01,0.215633423180606
2001-07-01,0.161377084454003
2001-08-01,0.214822771213747
2001-09-01,0.267952840300109
2001-10-01,0.267236771779784
2001-11-01,0.26652452025588
2001-12-01,-0.159489633173839
2002-01-01,0.2129925452609
2002-02-01,0.531349628055264
2002-03-01,0.317124735729392
2002-04-01,0.26343519494206
2002-05-01,-0.0525486074619196
2002-06-01,-0.0525762355415384
2002-07-01,0.105207785376138
2002-08-01,0.36784025223331
2002-09-01,0.15706806282722
2002-10-01,0.261369576581288
2002-11-01,0
2002-12-01,-0.208550573514076
2003-01-01,0.208986415882966
2003-02-01,0.364963503649629
2003-03-01,0.259740259740247
2003-04-01,0.0518134715026077
2003-05-01,0.051786639047115
2003-06-01,-0.103519668737066
2003-07-01,0.103626943005188
2003-08-01,0.155279503105599
2003-09-01,0.0516795865632967
2003-10-01,0.361570247933892
2003-11-01,-0.205867215645907
2003-12-01,-0.154718927282113
2004-01-01,0.206611570247932
2004-02-01,0.46391752577321
2004-03-01,0.615700359158538
2004-04-01,0.203977562468127
2004-05-01,0
2004-06-01,0.0508905852417333
2004-07-01,0
2004-08-01,0.101729399796547
2004-09-01,0.304878048780492
2004-10-01,0.405268490374857
2004-11-01,-0.0504540867810187
2004-12-01,-0.151438667339723
2005-01-01,0.303336703741144
2005-02-01,0.554435483870974
2005-03-01,0.601503759398492
2005-04-01,0.0996512207274465
2005-05-01,-0.0497760079641643
2005-06-01,-0.099601593625504
2005-07-01,0.0997008973080818
2005-08-01,0.0996015936255174
2005-09-01,0.149253731343279
2005-10-01,0.496770988574257
2005-11-01,0
2005-12-01,-0.0988630746416273
2006-01-01,0.247402276100928
2006-02-01,0.493583415597252
2006-03-01,0.638506876227897
2006-04-01,0.292825768667647
2006-05-01,0.0973236009732288
2006-06-01,0.0972289742343277
2006-07-01,0.145701796988825
2006-08-01,0.242483026188155
2006-09-01,0.241896468311577
