"Date","CUSR0000SETB01"
2014-06-01,302.293
2014-07-01,299.785
2014-08-01,294.803
2014-09-01,287.003
2014-10-01,278.463
2014-11-01,262.282
2014-12-01,238.491
2015-01-01,199.553
2015-02-01,206.901
2015-03-01,214.684
2015-04-01,211.577
2015-05-01,225.281
2015-06-01,230.871
2015-07-01,231.775
2015-08-01,225.725
2015-09-01,201.935
2015-10-01,199.315
2015-11-01,198.984
2015-12-01,190.765
2016-01-01,181.445
2016-02-01,162.727
2016-03-01,175.164
2016-04-01,184.762
2016-05-01,187.627
2016-06-01,196.44
2016-07-01,185.486
2016-08-01,183.715
2016-09-01,189.766
2016-10-01,197.788
2016-11-01,199.22
2016-12-01,206.244
2017-01-01,217.892
2017-02-01,213.626
2017-03-01,210.69
2017-04-01,209.074
2017-05-01,197.848
2017-06-01,195.797
2017-07-01,191.889
2017-08-01,203.585
2017-09-01,228.252
2017-10-01,218.99
2017-11-01,228.908
2017-12-01,228.888
2018-01-01,235.325
2018-02-01,239.767
2018-03-01,231.325
2018-04-01,238.803
2018-05-01,242.344
2018-06-01,243.105
2018-07-01,241.377
2018-08-01,246.229
2018-09-01,250.369
2018-10-01,253.471
2018-11-01,238.309
2018-12-01,225.063
2019-01-01,213.042
2019-02-01,218.757
2019-03-01,228.732
2019-04-01,245.631
2019-05-01,241.122
2019-06-01,229.103
2019-07-01,232.442
2019-08-01,229.197
2019-09-01,230.245
2019-10-01,235.019
2019-11-01,235.866
2019-12-01,243.999
2020-01-01,240.832
2020-02-01,231.318
2020-03-01,204.881
2020-04-01,166.391
2020-05-01,159.382
2020-06-01,175.65
2020-07-01,184.805
2020-08-01,191.075
2020-09-01,194.73
2020-10-01,192.563
2020-11-01,190.061
2020-12-01,207.7
2021-01-01,220.886
2021-02-01,235.242
2021-03-01,250.165
2021-04-01,248.61
2021-05-01,248.452
2021-06-01,254.737
2021-07-01,261.053
2021-08-01,272.734
2021-09-01,276.923
2021-10-01,288.241
2021-11-01,300.315
2021-12-01,311.857
2022-01-01,311.013
2022-02-01,325.528
2022-03-01,368.508
2022-04-01,357.103
2022-05-01,368.65
2022-06-01,406.648
2022-07-01,373.786
2022-08-01,342.562
2022-09-01,328.073
2022-10-01,339.083
2022-11-01,331.198
2022-12-01,308.155
2023-01-01,315.662
2023-02-01,318.945
2023-03-01,304.332
2023-04-01,313.479
2023-05-01,295.962
2023-06-01,298.985
2023-07-01,299.508
2023-08-01,331.147
2023-09-01,338.021
2023-10-01,321.063
2023-11-01,301.74
