"Date","USACPIHOUMINMEI"
2007-11-01,97.5550859081302
2007-12-01,97.6223133183682
2008-01-01,98.2289054682157
2008-02-01,98.599815317804
2008-03-01,99.0908845040819
2008-04-01,99.0881799530954
2008-05-01,99.1148390985345
2008-06-01,99.5216808398017
2008-07-01,99.9281362166422
2008-08-01,99.8933634182434
2008-09-01,99.7805450056602
2008-10-01,99.8242041858722
2008-11-01,99.6669538642238
2008-12-01,99.5147262801219
2009-01-01,100.002704550987
2009-02-01,100.238386851246
2009-03-01,100.530864722223
2009-04-01,100.635955846273
2009-05-01,100.604660327714
2009-06-01,100.790501616935
2009-07-01,100.816001669094
2009-08-01,100.786251608242
2009-09-01,100.479478253478
2009-10-01,100.468273685105
2009-11-01,99.9540226332281
2009-12-01,99.7990904981396
2010-01-01,99.8296132878454
2010-02-01,99.850090602458
2010-03-01,99.8709542814974
2010-04-01,99.8585906198444
2010-05-01,99.8848634008569
2010-06-01,100.033613705119
2010-07-01,100.112818412583
2010-08-01,100.074181969918
2010-09-01,100.042886451359
2010-10-01,100.089250182557
2010-11-01,100.123250252103
2010-12-01,100.229886833859
2011-01-01,100.429250878013
2011-02-01,100.598864861314
2011-03-01,100.776978862002
2011-04-01,100.826819873041
2011-05-01,100.946206480877
2011-06-01,101.218593401668
2011-07-01,101.516094010192
2011-08-01,101.672571602987
2011-09-01,101.710821681226
2011-10-01,101.890867504047
2011-11-01,101.973549491351
2011-12-01,102.13195890628
2012-01-01,102.409754929044
2012-02-01,102.629209923384
2012-03-01,102.897733199909
2012-04-01,103.06155171681
2012-05-01,103.227302055845
2012-06-01,103.432847930825
2012-07-01,103.616757397913
2012-08-01,103.791780483187
2012-09-01,103.960235373209
2012-10-01,104.192440393628
2012-11-01,104.255804159599
2012-12-01,104.365531656769
2013-01-01,104.666123180706
2013-02-01,104.930010084112
2013-03-01,105.178828774877
2013-04-01,105.323329070446
2013-05-01,105.577170498758
2013-06-01,105.82521646067
2013-07-01,106.039262353037
2013-08-01,106.277649204282
2013-09-01,106.404763100652
2013-10-01,106.553513404914
2013-11-01,106.789195705173
2013-12-01,107.014446165913
2014-01-01,107.362174149902
2014-02-01,107.627220146587
2014-03-01,108.026720963747
2014-04-01,108.218744083795
2014-05-01,108.556426592691
2014-06-01,108.78167705343
2014-07-01,109.097336790007
2014-08-01,109.320655428613
2014-09-01,109.516542192927
2014-10-01,109.771542714519
2014-11-01,109.951202172914
2014-12-01,110.088361544376
2015-01-01,110.48283962399
2015-02-01,110.809317564513
2015-03-01,111.205341101834
2015-04-01,111.452227970466
2015-05-01,111.689842092859
2015-06-01,112.058820120314
2015-07-01,112.502366482113
2015-08-01,112.71988965432
2015-09-01,113.011981160871
2015-10-01,113.290163548062
2015-11-01,113.46248208235
2015-12-01,113.644073362877
2016-01-01,114.091483368943
2016-02-01,114.470120507065
2016-03-01,114.782302963802
2016-04-01,115.04580350278
2016-05-01,115.487031678019
2016-06-01,115.952987176565
2016-07-01,116.241215038849
2016-08-01,116.576965725612
2016-09-01,116.920057336481
2016-10-01,117.312603593962
2016-11-01,117.532831317155
2016-12-01,117.799422771547
2017-01-01,118.185400833774
2017-02-01,118.544719750563
2017-03-01,118.786197517222
2017-04-01,119.046993505214
2017-05-01,119.371153259177
2017-06-01,119.753267677138
2017-07-01,119.944518068332
2017-08-01,120.448723645117
2017-09-01,120.728451490014
2017-10-01,121.139929604401
2017-11-01,121.279407162424
2017-12-01,121.60433964524
2018-01-01,121.984908605495
2018-02-01,122.278545569752
2018-03-01,122.764592018484
2018-04-01,123.117729104446
2018-05-01,123.593730078084
