"Date","USACPGRLH01IXOBM"
2004-07-01,74.1912506795313
2004-08-01,74.3806751493514
2004-09-01,74.4753873842614
2004-10-01,74.2228214245013
2004-11-01,74.6332411091115
2004-12-01,74.6648118540815
2005-01-01,74.9489485588116
2005-02-01,75.1383730286317
2005-03-01,75.2962267534818
2005-04-01,75.7066464380919
2005-05-01,75.990783142822
2005-06-01,76.5274858073123
2005-07-01,76.9063347469524
2005-08-01,77.1904714516826
2005-09-01,77.9165985859929
2005-10-01,78.358589015573
2005-11-01,78.7690087001832
2005-12-01,78.5480134853931
2006-01-01,79.3057113646734
2006-02-01,79.2425698747334
2006-03-01,79.2109991297634
2006-04-01,79.2425698747334
2006-05-01,79.4951358344935
2006-06-01,80.1581214788638
2006-07-01,80.3791166936539
2006-08-01,80.631682653414
2006-09-01,80.8842486131741
2006-10-01,80.3159752037139
2006-11-01,80.3791166936539
2006-12-01,80.4738289285639
2007-01-01,80.8728831449849
2007-02-01,81.1832235680401
2007-03-01,81.4095858094751
2007-04-01,81.5349216670061
2007-05-01,81.8509448241559
2007-06-01,82.6133783151818
2007-07-01,82.8050127371497
2007-08-01,82.9009878018586
2007-09-01,83.1077761814122
2007-10-01,83.0654713831523
2007-11-01,83.2201680335054
2007-12-01,83.3360326675454
2008-01-01,83.760659187392
2008-02-01,84.0268005674892
2008-03-01,84.4728951939155
2008-04-01,84.9275139214837
2008-05-01,85.704154247746
2008-06-01,86.8826901574766
2008-07-01,87.7609882825424
2008-08-01,87.9579897311553
2008-09-01,87.6451236485025
2008-10-01,87.2290212297977
2008-11-01,86.9537243336592
2008-12-01,86.9363604239257
2009-01-01,87.2069217083187
2009-02-01,87.3685639225651
2009-03-01,87.2637490492647
2009-04-01,87.0569606697111
2009-05-01,87.0648533559536
2009-06-01,87.6962682553539
2009-07-01,88.002504481563
2009-08-01,88.3024265587782
2009-09-01,88.4593331612791
2009-10-01,88.2544390264237
2009-11-01,88.4025058203331
2009-12-01,88.3652523412685
2010-01-01,88.6285523543184
2010-02-01,88.8501789840079
2010-03-01,89.1232659279985
2010-04-01,89.2981678551324
2010-05-01,89.5160059954254
2010-06-01,90.0937506283767
2010-07-01,90.3674689872667
2010-08-01,90.5370038877557
2010-09-01,90.4943833820462
2010-10-01,90.1622591449616
2010-11-01,90.1240585435479
2010-12-01,90.1284784478437
2011-01-01,90.3845171895505
2011-02-01,90.7807300389242
2011-03-01,90.9480549872653
2011-04-01,91.1169584728548
2011-05-01,91.4528711993358
2011-06-01,91.9400077942231
2011-07-01,92.1742627219006
2011-08-01,92.4615565011277
2011-09-01,92.5973107044988
2011-10-01,92.3018085315794
2011-11-01,92.2629765152663
2011-12-01,92.3403248404428
2012-01-01,92.5872080661084
2012-02-01,92.6304599867173
2012-03-01,92.7819995625734
2012-04-01,92.9843680378311
2012-05-01,93.225568529402
2012-06-01,93.939383073174
2012-07-01,93.993053339623
2012-08-01,94.1793207349461
2012-09-01,94.3406472417429
2012-10-01,94.1509070644731
2012-11-01,94.2730858475071
2012-12-01,94.4322024021559
2013-01-01,94.8170497833404
2013-02-01,95.1921102335842
2013-03-01,95.2884010057427
2013-04-01,95.3433341019905
2013-05-01,95.7322856800211
2013-06-01,96.2955077702861
2013-07-01,96.4741981868164
2013-08-01,96.5373396767564
2013-09-01,96.7453908861088
2013-10-01,96.5199757670229
2013-11-01,96.5000861976918
2013-12-01,96.4429431492961
2014-01-01,97.0939330155538
2014-02-01,97.5645745781224
2014-03-01,98.1393745192922
2014-04-01,98.1075483480529
2014-05-01,98.8164039802003
2014-06-01,99.3670931855828
2014-07-01,99.3979549273905
2014-08-01,99.1423811280449
2014-09-01,99.0218274491083
2014-10-01,98.7566093554477
2014-11-01,98.5569724631286
2014-12-01,98.571438904601
2015-01-01,99.0459381848956
2015-02-01,99.2417173594886
2015-03-01,99.3632354678568
2015-04-01,99.6458132912842
2015-05-01,99.9158535321022
2015-06-01,100.549483668593
2015-07-01,100.562985680634
2015-08-01,100.413499118753
2015-09-01,100.399997106712
2015-10-01,100.328629328781
2015-11-01,100.345024629117
2015-12-01,100.187822631783
2016-01-01,100.685468218434
2016-02-01,101.128141327489
2016-03-01,101.373106403088
2016-04-01,101.633502349591
2016-05-01,102.192871419857
2016-06-01,102.837110280094
2016-07-01,102.906549199162
2016-08-01,103.020351872078
2016-09-01,102.947055235285
2016-10-01,102.662548552994
2016-11-01,102.615291510851
2016-12-01,102.639402246638
2017-01-01,103.251814935636
2017-02-01,103.863263195203
2017-03-01,103.598045101542
2017-04-01,103.783215552389
2017-05-01,104.201777925657
2017-06-01,104.70135237117
2017-07-01,104.62998459324
2017-08-01,104.71388995378
2017-09-01,104.751502701608
2017-10-01,104.6685617705
2017-11-01,104.525826214639
2017-12-01,104.566332250761
2018-01-01,105.085195284905
2018-02-01,105.790193199326
2018-03-01,106.023585121747
2018-04-01,106.050589145829
2018-05-01,106.578132044856
2018-06-01,107.009232000733
2018-07-01,107.004409853576
2018-08-01,106.951366234843
2018-09-01,106.934006505077
2018-10-01,106.823097120455
2018-11-01,106.648535393355
2018-12-01,106.914717916447
2019-01-01,107.25901922349
2019-02-01,107.60814267769
2019-03-01,107.854072182721
2019-04-01,108.01513189778
2019-05-01,108.272634555989
2019-06-01,108.726880818222
2019-07-01,108.880225097829
2019-08-01,108.967023746664
2019-09-01,109.020067365396
2019-10-01,109.192700233633
2019-11-01,109.231277410893
2019-12-01,109.154123056373
2020-01-01,109.777144469118
2020-02-01,110.341335686541
2020-03-01,110.015358538697
2020-04-01,109.104937155367
2020-05-01,108.945806299171
2020-06-01,109.55243241158
2020-07-01,110.371232998917
2020-08-01,110.402094740725
2020-09-01,110.354837698582
2020-10-01,110.152307517969
2020-11-01,110.484071242402
2020-12-01,110.348086692562
